QD,Paper,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
QT,PH,1,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT
SN,PH,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
KY,PH,1,B,A,A,A,A,D,D,C,B,D,B,B,C,D,B,C,B,A,B,A,C,B,A,D,A,D,B,C,A,A,A;B;D,A;C;D,A;B,A;B;C,A,A;B;C;D,A;B,A;D,B;D,B;D,-0.5:-0.5,27.0:27.0,1.0:1.0,87:88,1.0:1.0,1010:1010,12.0:12.0,6.0:6.0,358:359,1.73:1.77,-2:-2,2.0:2.0,8.0:8.0,2.0:3.0,1.3:1.6,0.28:0.35,0.68:0.82,24.0:26.0,1.9:2.1,1.9:2.1
MK,PH,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
