QD,Paper,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
QT,MS,1,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT
SN,MS,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
KY,MS,1,C,A,C,D,B,C,D,A,C,B,B,C,B,C,A,D,A,C,A,B,D,A,D,C,B,B,D,B,A,A,A;B;D,A;C;D,A;B;C;D,B;D,A;C,A;B;C;D,A;B,B;C;D,A;B,C;D,4.9:5.1,0.49:0.51,0.49:0.51,0.24:0.26,0.60:0.62,0.80:0.81,1.9:2.1,0.24:0.26,4.9:5.1,2.1:2.2,3.9:4.1,-0.51:-0.49,0.24:0.26,0.74:0.76,0.97:0.98,0.74:0.76,0.5:0.6,0.20:0.21,0.49:0.51,0.3:0.4
MK,MS,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
