QD,Paper,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
QT,GG,1,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT
SN,GG,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
KY,GG,1,A,A,C,D,B,B,D,A,C,A,C,B,D,C,C,A,D,A,C,D,C,D,B,B,B,B,A,B,D,A,A;C;D,B;C;D,A;C;D,D,A;B;C;D,A;D,B;C,A;B,A;C,A;B;C;D,25.0:25.0,-2.0:-2.0,1.0:1.0,2.8:2.8,140:140,0.45:0.46,115:115,3.0:3.0,100:100,21.32:21.33,0.125:0.125,198:198,625:625,0.24:0.26,3.39:3.40,47.61:47.63,105:105,400:400,80.62:80.63,2.67:2.69
MK,GG,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
