QD,Paper,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
QT,GG,2,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT
SN,GG,2,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
KY,GG,2,B,D,C,D,D,A,D,B,C,A,D,A,C,B,C,C,B,A,C,C,B,A,D,B,D,A,B,C,A,D,A;B;C,A;B,A;C,C;D,A;B,A;D,B;D,"A;B;C;D,  A;C;D",A;C,B;C,2.5:2.5,15:15,45:45,20:20,0.172:0.172,0:0,1120:1120,9:9,64:64,6:6,161.63:161.67,4:4,264.5:264.7,60:60,85.464:85.470,7.07:7.07,20:20,3.46:3.46,1900:2000,0.666:0.667
MK,GG,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
