QD,Paper,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
QT,BT,2,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT
SN,BT,2,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
KY,BT,2,MTA,C,C,D,D,B,A,C,A;D,B,B,A,A,B,A,B,B,C,C,A,B,B,B,C,B,D,MTA,A,B,B,A;B;C;D,B;C,B,A;B;D,A;B;C,C;D,A;B;D,B;D,B;C,A;D,4.80:4.90,119.8:120.2,5.0:5.0,3.0:3.0,2.0:2.0,66.0:67.0,25:26,25:25,0:0,1:1,18:19,29.0:30.0,24.0:25.0,16.0:16.0,8.0:8.0,2.5:3.0,11.5:12.5,50.75:51.25,24.0:24.0,2.0:2.0
MK,BT,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
