QD,Paper,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
QT,PH,1,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,MSQ,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT,NAT
SN,PH,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
KY,PH,1,C,A,B,C,C,A,A,D,B,C,D,D,A,C,C,B,B,B,D,MTA,B,C,C,MTA,D,B,A,D,C,C,A;D,A;C;D,A;C;D,A;B;D,B;C,A;C,C;D,A;B;D,A;D,B;C,6165:6180,1.3:1.3,360:370,5.5:5.9,3.4:3.6,0.16:0.20,8:9,25:27,53:57,02:02,445:455,04:04,0.80:0.97,5:5,0.4:0.5,3.25:3.35,17:18,3.0:3.3,1.2:1.3,0.30:0.35
MK,PH,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
