QD,Paper,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
QT,AE,1,MCQ,MCQ,MCQ,MCQ,NAT,MCQ,MCQ,NAT,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,NAT,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,NAT,MCQ,MCQ,MCQ,NAT,MCQ,MCQ,MCQ,MCQ,MCQ,NAT,MCQ,NAT,MCQ,MCQ,MCQ,NAT,NAT,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,NAT,NAT,NAT,NAT,MCQ,MCQ,MCQ,NAT,MCQ,MCQ,MCQ
SN,AE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
KY,AE,1,A,B,D,C,1300:1300,D,B,180:180,D,B,C,B,C,A,D,A,D,B,D,D,A,B,B,2.95:3.05,C,D,B,B,C,D,0.45:0.55,D,D,B,1.2:1.25,A,C,D,A,B,-5.01:-4.99,C,1705:1720,B,C,C,0.99:1.01,0.12:0.13,A,B,D,D,B,D,1880:1881,1.1:1.25,74:76,6050:6250,D,C,D,18:20,B,C,B
MK,AE,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
